date,crop_name,market,price
2019-12-18,Firewood,Beddenno,69.0
2019-12-18,Wheat Grain,"Nazareth, Adama",19.6
2019-12-18,Sorghum (Yellow),"Nazareth, Adama",18.2
2019-12-18,Sorghum (White),"Nazareth, Adama",18.6
2019-12-18,Sorghum (Red),"Nazareth, Adama",16.0
2019-12-18,Sheep (Local Quality),"Nazareth, Adama",1510.0
2019-12-18,Oxen (Local Quality),"Nazareth, Adama",13700.0
2019-12-18,Mixed Teff,"Nazareth, Adama",28.4
2019-12-18,"Casual Labor (unskilled, daily, without food)",Nekemte,130.0
2019-12-18,Maize Grain (White),"Nazareth, Adama",11.0
2019-12-18,Horse beans,"Nazareth, Adama",31.8
2019-12-18,Goats (Local Quality),"Nazareth, Adama",1610.0
2019-12-18,Gasoline,"Nazareth, Adama",445.328
2019-12-18,Firewood,"Nazareth, Adama",88.8
2019-12-18,Diesel,"Nazareth, Adama",18.63
2019-12-18,"Casual Labor (unskilled, daily, without food)","Nazareth, Adama",100.0
2019-12-18,Beans (Haricot),"Nazareth, Adama",19.6
2019-12-18,"Casual Labor (unskilled, daily, without food)","Addis Ababa, Merkato",53.0
2019-12-18,Diesel,Nekemte,19.13
2019-12-18,Firewood,Nekemte,31.0
2019-12-18,Gasoline,Nekemte,21.91
2019-12-18,Maize Grain (White),Sekota,21.6
2019-12-18,Horse beans,Sekota,53.2
2019-12-18,Goats (Local Quality),Sekota,1770.0
2019-12-18,Gasoline,Sekota,18.86
2019-12-18,Wheat Grain,"Addis Ababa, Merkato",25.6
2019-12-18,Firewood,Sekota,10.0
2019-12-18,Diesel,Sekota,18.86
2019-12-18,"Casual Labor (unskilled, daily, without food)",Sekota,150.0
2019-12-18,Wheat Grain,Nekemte,20.4
2019-12-18,Sorghum (White),Nekemte,12.9
2019-12-18,Sorghum (Red),Nekemte,13.2
2019-12-18,Sheep (Local Quality),Nekemte,1970.0
2019-12-18,Oxen (Local Quality),Nekemte,12600.0
2019-12-18,Mixed Teff,Nekemte,31.0
2019-12-18,Maize Grain (White),Nekemte,9.4
2019-12-18,Horse beans,Nekemte,28.6
2019-12-18,Goats (Local Quality),Nekemte,1720.0
2019-12-18,Wheat Grain,Mekele,18.42
2019-12-18,Mixed Teff,Sekota,57.33333333
2019-12-18,Sorghum (Yellow),Mekele,19.428
2019-12-18,Sorghum (White),Mekele,21.402
2019-12-18,Firewood,Jinka,9.784
2019-12-18,Diesel,Jinka,19.49
2019-12-18,"Casual Labor (unskilled, daily, without food)",Jinka,72.0
2019-12-18,Beans (Haricot),Bahir Dar,49.67
2019-12-18,Wheat Grain,Gode,15.6
2019-12-18,Wheat Flour,Gode,14.2
2019-12-18,Sorghum (White),Gode,18.0
2019-12-18,Gasoline,Jinka,22.562
2019-12-18,Sorghum (Red),Gode,19.8
2019-12-18,"Casual Labor (unskilled, daily, without food)",Bahir Dar,106.0
2019-12-18,Oxen (Local Quality),Gode,8500.0
2019-12-18,Maize Grain (White),Gode,14.2
2019-12-18,Horse beans,Gode,38.8
2019-12-18,Goats (Local Quality),Gode,1590.0
2019-12-18,Gasoline,Gode,21.0
2019-12-18,Diesel,Bahir Dar,18.76
2019-12-18,Sheep (Local Quality),Gode,1210.0
2019-12-18,Sorghum (Red),Yabelo,14.2
2019-12-18,Goats (Local Quality),Jinka,1340.0
2019-12-18,Horse beans,Jinka,14.6
2019-12-18,Goats (Local Quality),Yabelo,3560.0
2019-12-18,Oxen (Local Quality),Mekele,13100.0
2019-12-18,Mixed Teff,Mekele,25.638
2019-12-18,Maize Grain (White),Mekele,11.506
2019-12-18,Horse beans,Mekele,39.184
2019-12-18,Goats (Local Quality),Mekele,3060.0
2019-12-18,Gasoline,Mekele,21.27
2019-12-18,Diesel,Mekele,18.49
2019-12-18,"Casual Labor (unskilled, daily, without food)",Mekele,234.0
2019-12-18,Camels (Local Quality),Mekele,24000.0
2019-12-18,Wheat Grain,Jinka,18.6
2019-12-18,Sorghum (White),Jinka,17.0
2019-12-18,Sorghum (Red),Jinka,12.0
2019-12-18,Sheep (Local Quality),Jinka,1180.0
2019-12-18,Oxen (Local Quality),Jinka,10700.0
2019-12-18,Mixed Teff,Jinka,24.638
